paper_id,pub_year,cited_by,author_ids
https://openalex.org/W2770011597,2017,12,"['https://openalex.org/A5046688345', 'https://openalex.org/A5062365263', 'https://openalex.org/A5021398655', 'https://openalex.org/A5100355339']"
https://openalex.org/W3103388805,2017,12,"['https://openalex.org/A5062365263', 'https://openalex.org/A5013394195', 'https://openalex.org/A5100355277', 'https://openalex.org/A5103017598', 'https://openalex.org/A5018318168', 'https://openalex.org/A5044100655']"
https://openalex.org/W4248198839,2011,12,"['https://openalex.org/A5068556395', 'https://openalex.org/A5008439962', 'https://openalex.org/A5060044716', 'https://openalex.org/A5003388464']"
https://openalex.org/W2741938681,2017,11,"['https://openalex.org/A5080193434', 'https://openalex.org/A5023075601', 'https://openalex.org/A5008439962']"
https://openalex.org/W2883191068,2018,11,"['https://openalex.org/A5020387316', 'https://openalex.org/A5008439962', 'https://openalex.org/A5068556395']"
https://openalex.org/W3000970298,2020,303,"['https://openalex.org/A5082698243', 'https://openalex.org/A5020533147', 'https://openalex.org/A5056499434']"
https://openalex.org/W2124536061,2015,217,"['https://openalex.org/A5063950837', 'https://openalex.org/A5074307594', 'https://openalex.org/A5018392096', 'https://openalex.org/A5044596386']"
https://openalex.org/W4387244485,2023,124,"['https://openalex.org/A5080783101', 'https://openalex.org/A5016600046', 'https://openalex.org/A5100329996']"
https://openalex.org/W4367628401,2023,81,"['https://openalex.org/A5058188131', 'https://openalex.org/A5007251379', 'https://openalex.org/A5091266570']"
https://openalex.org/W2304851527,2016,142,"['https://openalex.org/A5110630509', 'https://openalex.org/A5011421741', 'https://openalex.org/A5077126830', 'https://openalex.org/A5100329996', 'https://openalex.org/A5100385986']"
https://openalex.org/W2340779052,2016,132,"['https://openalex.org/A5062343820', 'https://openalex.org/A5040961138', 'https://openalex.org/A5036233384']"
https://openalex.org/W2091268463,2013,109,"['https://openalex.org/A5001092730', 'https://openalex.org/A5101466867', 'https://openalex.org/A5034826082', 'https://openalex.org/A5100329996', 'https://openalex.org/A5075053630']"
